"DISTRITO";"189";"PARTIDO DEL TRABAJO Y LA EQUIDAD";"CAPITAL FEDERAL";"Convencion Provincial";"Delegado/a suplente";"ELVIRA SANTOS";"ALTIERI";"457920";"09/07/2013";"09/07/2017"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"SAN JUAN";"COMITÉ DE PROVINCIA";"DELEGADO TITULAR";"ZOGBE";"NANCY";"605154";"20/04/2012";"15/04/2014"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"ASAMBLEA PROVINCIAL";"VICEPRESIDENTE 1°";"NIETO";"BEATRIZ FRANCISCA";"609826";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"TRIBUNAL DE CUENTAS";"TITULAR";"NIETO";"BEATRIZ FRANCISCA";"609826";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"LA RIOJA";"TRIBUNAL DE DISCIPLINA";"SUPLENTE";"PEÑALOZA";"BEATRIZ HELENA";"623963";"12/08/2012";"11/08/2014"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"RÍO NEGRO";"CONVENCIÓN ZONA ATLANTICA";"SUPLENTE";"RUIZ";"ARACELI";"667688";"22/04/2013";"20/04/2015"
"DISTRITO";"30";"PARTIDO SOCIALISTA AUTÉNTICO";"LA PAMPA";"JUNTA ELECTORAL";"SECRETARIO";"TONCICH";"ANGELA MARIA";"846869";"07/04/2013";"09/04/2017"
"DISTRITO";"162";"UNIÓN DEL CENTRO DEMOCRÁTICO";"CORDOBA";"COMITÉ CENTRAL";"VOCAL";"NOVILLO";"OTELA DOMINGA";"933600";"15/05/2012";"14/05/2014"
"DISTRITO";"19";"PARTIDO CONSERVADOR POPULAR";"BUENOS AIRES";"Junta de Gobierno";"Vocal Titular";"ALICIA ";"BATTAGLIA ";"933780";"15/02/2014";"15/02/2018"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"TUCUMÁN";"CONSEJO PROVINCIAL";"TITULARES";"FELIPE";"TERESA JESUS";"964534";"01/01/2011";"01/01/2015"
"DISTRITO";"183";"PARTIDO SOCIAL DE CENTRO";"SANTIAGO DEL ESTERO";"JUNTA ELECTORAL";"MIEMBRO INTEGRANTE";"GIRACCA";"ANA AMELIA";"975208";"07/10/2012";"07/10/2014"
"NACIONAL";"33";"PARTIDO NACIONALISTA CONSTITUCIONAL UNIR                           ";"CAPITAL FEDERAL";"Junta Directiva Nacional";"Tesorero/a Suplente";"ZULEMA";"BRUNO ";"1074553";"12/11/2012";"13/11/2015"
"DISTRITO";"33";"PARTIDO NACIONALISTA CONSTITUCIONAL UNIR                           ";"CAPITAL FEDERAL";"Junta Directiva";"Vocal";"ZULEMA";"BRUNO DE FOX ";"1074553";"20/11/2012";"20/11/2015"
"DISTRITO";"3";"Union Civica Radical";"BUENOS AIRES";"Delegado/a suplente";"Convencion Provincial";"AURORA C.";"MAZAS";"1131281";"25/10/2012";"25/10/2014"
"DISTRITO";"203";"SALTA SOMOS TODOS";"SALTA";"CONSEJO PROVINCIAL";"VICEPRESIDENTE 1°";"FERNANDEZ";"MARTA VICTORIA";"1151856";"27/09/2012";"27/09/2014"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"SAN JUAN";"COMITÉ DE PROVINCIA";"DELEGADO SUPLENTE";"NUÑEZ";"MARIO CESAR";"1203303";"20/04/2012";"15/04/2014"
"DISTRITO";"151";"PARTIDO MOVIMIENTO POPULAR JUJEÑO ";"JUJUY";"TRIBUNAL DE DISCIPLINA";"SUPLENTE";"ROSEL";"YOLANDA";"1384382";"21/05/2011";"21/05/2015"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"JUNTA CENTRAL PROVINCIAL";"VOCAL";"LACAMOIRE";"MARIA EMILIA";"1429138";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"3";"Union Civica Radical";"BUENOS AIRES";"Delegado/a suplente";"Convencion Provincial";"MARIA ELENA";"BJERRING";"1444092";"25/10/2012";"25/10/2014"
"DISTRITO";"47";"COALICIÓN CÍVICA-AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"LA RIOJA";"COMITÉ DE DISTRITO";"SECRETARIO GENERAL";"ANDRADA";"RENEE DEL VALLE";"1471017";"28/08/2009";"28/08/2013"
"DISTRITO";"302";"DE LA CIUDAD EN ACCION";"CAPITAL FEDERAL";"Asamblea Fundación";"Protesorero";"PALMIRA ADERMINDA";"FERREYRA";"1513892";"19/03/2011";"19/03/2015"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"ENTRE RÍOS";"CONSEJO DIRECTIVO";"VOCAL SUPLENTE";"BISSO";"MARIA ANGELICA";"1531772";"24/03/2013";"24/03/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHACO";"COMITE PROVINCIAL";"MIEMBRO SUPLENTE";"FERNANDEZ";"ROSA";"1543856";"10/12/2013";"10/12/2015"
"DISTRITO";"174";"PARTIDO DE LA CONCERTACIÓN FORJA";"CHACO";"CONGRESO PROVINCIAL";"SUPLENTE";"BASUALDO";"VICTORIA LEONOR";"1547336";"15/12/2013";"14/12/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"SAN LUIS";"Tribunal de Conducta";"Titular 5°";"BORRUAT";"MARTHA";"1564967";"29/03/2011";"29/03/2013"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"ASAMBLEA PROVINCIAL";"MIEMBRO INTEGRANTE";"LEAL MARCHENA";"BLANCA MATILDE";"1568567";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SAN JUAN";"TRIBUNAL DE DISCIPLINA";"SUPLENTE 1°";"HERRERA";"ANGELA BERTHA";"1587968";"29/12/2011";"29/12/2013"
"DISTRITO";"180";"PARTIDO DEL CAMPO POPULAR";"SANTA FE";"MESA EJECUTIVA PROVINCIAL";"SECRETARIA TESORERA SUPLENTE";"HOFFER";"ANA MARIA ";"1631699";"19/04/2014";"18/04/2018"
"DISTRITO";"151";"MOVIMIENTO TIERRA COLORADA";"MISIONES";"MESA DIRECTIVA DEL COMITE PROVINCIAL";"PRESIDENTE";"SLAMOVITS";"LUDOVICO";"1725561";"29/10/2011";"29/10/2015"
"DISTRITO";"151";"MOVIMIENTO TIERRA COLORADA";"MISIONES";"MESA DIRECTIVA DEL COMITE PROVINCIAL";"APODERADO";"SLAMOVITS";"LUDOVICO";"1725561";"29/10/2011";"29/10/2015"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"TUCUMÁN";"CONGR PROVINCIALES";"TITULARES";"GRIMALDI";"ISABEL DEL ROSARIO ";"1729609";"2012-2014";
"DISTRITO";"8";"PARTIDO FEDERAL";"MENDOZA";"JUNTA CENTRAL DE GOBIERNO";"PROTESORERO";"LLANO";"ELBA NATIVIDAD";"1734573";"01/10/2011";"30/09/2015"
"DISTRITO";"22";"PARTIDO HUMANISTA";"LA PAMPA";"CONGRESO PROVINCIAL";"TITULAR";"FERNANDEZ";"AZUCENA";"1739316";"05/12/2010";"05/12/2014"
"DISTRITO";"47";"COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"SALTA";"CONVENCION PROVINCIAL";"MIEMBRO INTEGRANTE";"ARANDA";"YOLANDA ELVECIA";"1740817";"19/05/2012";"19/05/2016"
"DISTRITO";"47";"COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"SALTA";"COMITE CENTRAL PROVINCIAL";"SECRETARIO";"ARANDA";"YOLANDA ELVECIA";"1740817";"19/05/2012";"19/05/2016"
"DISTRITO";"288";"PARTIDO COMUNISTA AUTÉNTICO";"BUENOS AIRES";"Asamblea de distrito";"Delegado/a Titular";"NÉLIDA LUCIA";"VORRATH";"1743688";"17/02/2013";"17/02/2017"
"DISTRITO";"288";"PARTIDO COMUNISTA AUTÉNTICO";"BUENOS AIRES";"Comité de Provincia";"Delegado/a";"NÉLIDA LUCIA";"VORRATH";"1743688";"18/02/2013";"18/02/2017"
"DISTRITO";"288";"PARTIDO COMUNISTA AUTÉNTICO";"BUENOS AIRES";"Comisión Revisora de Cuentas";"Vicepresidente/a";"NÉLIDA LUCIA";"VORRATH";"1743688";"17/02/2013";"17/02/2017"
"DISTRITO";"170";"NUEVA DIRIGENCIA                              ";"CAPITAL FEDERAL";"Asamblea";"Delegado/a";"MANUELA ALCIRA";"CORBALAN";"1785852";"07/06/2013";"07/06/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"MISIONES";"TRIBUNAL DE CONDUCTA";"TITULAR";"MARELLI";"MABEL- FIGURA GOMEZ";"1790939";"20/05/2012";"20/05/2014"
"DISTRITO";"67";"KOLINA";"TIERRA DEL FUEGO";"CONSEJO CENTRAL";"VICEPRESIDENTE";"DIAZ";"YOLANDA EVA";"1829097";"05/06/2011";"05/06/2013"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"CONSEJO DIRECTIVO";"VOCAL TITULAR";"ESTRADA";"MARIA ROSA";"1946785";"15/12/2012";"15/12/2014"
"DISTRITO";"64";"PRO - PROPUESTA REPUBLICANA";"LA RIOJA";"ASAMBLEA PROVINCIAL- DEPTO. CAPITAL- MESA DIRECTIVA";"VICEPRESIDENTE SEGUNDO";" DE LA FUENTE";"NOEMI ILDA";"1979416";"02/09/2013";"02/09/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"LA RIOJA";"TRIBUNAL DE DISCIPLINA";"SUPLENTE";"SANCHEZ BASAN";"BASILIA";"1979566";"12/08/2012";"11/08/2014"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"ASAMBLEA PROVINCIAL";"MIEMBRO INTEGRANTE";"CARDARELLI";"MARIA ISABEL";"2030996";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"47";"COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"NEUQUÉN";"Consejo de Contralor Patrimonial ";"NO CONSTA ";"LOPEZ";"NELLY ETHEL";"2046973";"22/05/2012";"22/05/2014"
"DISTRITO";"69";"GEN";"ENTRE RÍOS";"CONVENCIÓN PROVINCIAL";"DELEGADO";"DIAZ";"RITA ETELVINA";"2064834";"03/02/2013";"03/02/2015"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SANTA CRUZ";"CONSEJO PROVINCIAL";"VOCAL TITULAR";"CREMONA";"NELIDA EMMA";"2075856";"14/03/2013";"14/03/2015"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SANTA CRUZ";"CONGRESO NACIONAL";"TITULAR";"CREMONA";"NELIDA EMMA";"2075856";"14/03/2013";"14/03/2015"
"DISTRITO";"60";"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD";"CHACO";"TRIBUNAL ELECTORAL";"TITULAR";"SISUELA MONZON";"ELDA ELIDA";"2089854";"30/10/2011";"30/10/2015"
"DISTRITO";"191";"VECINALISMO INDEPENDIENTE";"CORDOBA";"JUNTA CENTRAL PROVINCIAL";"VOCAL";"BRIZIO";"EDELWEIS JUANA";"2097519";"27/07/2012";"27/07/2016"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHACO";"CONVENCION PROVINCIAL. LISTA INTERNA, AZUL, NARANJA, MORADA. (RESISTENCIA)";"DELEGADO TITULAR";"RIZZOTTI";"MARIA PIA ERNESTINA ";"2318482";"10/12/2013";"10/12/2015"
"DISTRITO";"163";"BASES Y PRINCIPIOS DEL CHACO";"CHACO";"JUNTA EJECUTIVA PROVINCIAL";"VOCAL SUPLENTE CUARTO";"GERVASONI";"TEODORA";"2319347";"03/11/2012";"03/11/2014"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"RÍO NEGRO";"CENTRO CÍVICO DE ALLEN";"VOCAL TITULAR";"RECALDE";"FELIPA";"2347781";"22/04/2013";"20/04/2015"
"DISTRITO";"60";"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD";"CHACO";"TRIBUNAL DE CONDUCTA";"TITULAR";"DUARTE";"CATALINA";"2453729";"30/10/2011";"30/10/2015"
"DISTRITO";"162";"UNIÓN DEL CENTRO DEMOCRÁTICO";"CORDOBA";"COMITÉ CENTRAL";"VOCAL";"MIGNON";"MARIA CRISTINA";"2485674";"15/05/2012";"14/05/2014"
"DISTRITO";"5";"PARTIDO DEMÓCRATA CRISTIANO";"CORDOBA";"JUNTA EJECUTIVA PROVINCIAL";"MIEMBRO INTEGRANTE";"BANEGAS";"IRMA ELENA DEL VALLE";"2519781";"14/10/2011";"14/10/2013"
"DISTRITO";"187";"AUTODETERMINACION Y LIBERTAD                             ";"CAPITAL FEDERAL";"Congreso";"Delegado";"DELIA ZULEMA";"GOMEZ";"2520707";"06/10/2012";"07/10/2014"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"TUCUMÁN";"CONGR PROVINCIALES";"SUPLENTES";"ALLENDE";"POLA LADY";"2635474";"2012-2014";
"DISTRITO";"213";"ENCUENTRO POPULAR";"BUENOS AIRES";"Asamblea Provincial";"Delegado/a Titular";"NELIDA AURORA";"LOPEZ";"2761507";"12/11/2012";"12/11/2015"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"JUJUY";"JUNTA REVISORA DE CUENTAS";"SUPLENTE";"GUZMAN";"FLORA DEL CARMEN";"2792042";"27/10/2012";"27/10/2014"
"DISTRITO";"69";"GEN";"SANTA FE";"Tribunal de Disciplina";"Secretario";"PEGORARO";"PEDRA";"2793573";"14/09/2012";"14/09/2014"
"NACIONAL";"12";"PARTIDO COMUNISTA                              ";"CAPITAL FEDERAL";"Comite Central";"Tesorero/a";"RINA";"BERTACCINI";"2794344";"25/11/2012";"25/11/2016"
"DISTRITO";"197";"ACCION POR LA REPUBLICA";"BUENOS AIRES";"Junta de Gobierno";"Protesorero/a";"BEATRIZ";"CASO";"2921579";"05/06/2014";"05/06/2018"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"LA PAMPA";"JUNTA ELECTORAL";"TITULAR";"PERALTA";"MIRYAM ANA";"2957843";"20/11/2012";"20/11/2016"
"DISTRITO";"170";"NUEVA DIRIGENCIA                              ";"CAPITAL FEDERAL";"Asamblea";"Delegado/a";"CARMEN";"GARCIA";"2969498";"07/06/2013";"07/06/2015"
"DISTRITO";"5";"PARTIDO DEMÓCRATA CRISTIANO";"CORDOBA";"JUNTA EJECUTIVA PROVINCIAL";"MIEMBRO INTEGRANTE";"ZAMORA";"BERTA ROSA";"2985667";"14/10/2011";"14/10/2013"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SANTA CRUZ";"CONSEJO PROVINCIAL";"SECRETARIO GENERAL";"CASARINI";"MAURO";"2986073";"14/03/2013";"14/03/2015"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"MISIONES";"JUNTA EJECUTIVA PROVINCIAL";"SUPLENTE";"HASSELSTROM";"ADELINA LINEA";"3024406";"25/05/2014";"25/05/2016"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"MISIONES";"COMISION REVISORA DE CUENTAS";"MIEMBRO INTEGRANTE";"HASSELSTROM";"ADELINA LINEA";"3024406";"25/05/2014";"25/05/2016"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"MISIONES";"CONGRESO NACIONAL";"CONGRESAL SUPLENTE";"HASSELSTROM";"ADELINA LINEA";"3024406";"25/05/2014";"25/05/2016"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"MISIONES";"CONGRESO PROVINCIAL";"CONGRESAL TITULAR";"HASSELSTROM";"ADELINA LINEA";"3024406";"25/05/2014";"25/05/2016"
"DISTRITO";"6";"PARTIDO INTRANSIGENTE";"CORDOBA";"COMITÉ CENTRAL PROVINCIAL";"TESORERA";"OLIVA";"CRISTINA OLGA";"3038478";"20/12/2010";"20/12/2014"
"DISTRITO";"170";"NUEVA DIRIGENCIA                              ";"CAPITAL FEDERAL";"Asamblea";"Delegado/a";"HILDA ANGELICA";"GIACHINO";"3055724";"07/06/2013";"07/06/2015"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"ENTRE RÍOS";"CONSEJO DIRECTIVO";"VOCAL SUPLENTE";"BROCAL";"MARIA DEL PILAR";"3187769";"24/03/2013";"24/03/2015"
"DISTRITO";"183";"PARTIDO SOCIAL DE CENTRO";"SANTIAGO DEL ESTERO";"TRIBUNAL DE CONDUCTA";"MIEMBRO SUPLENTE";"PAZ";"ELVECIA DOLORES";"3206862";"07/10/2012";"07/10/2014"
"DISTRITO";"167";"FEDERAL FUEGUINO ";"TIERRA DEL FUEGO";"JUNTA PARTIDARIA";"Apoderado";"MORA";"ELENA ANGÉLICA";"3213123";"04/09/2012";"0/09/14"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"CONSEJO DIRECTIVO";"VOCAL SUPLENTE";"PEREZ";"ANA";"3219751";"15/12/2012";"15/12/2014"
"DISTRITO";"1";"MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO";"LA PAMPA";"CONVENCION PROVINCIAL";"SUPLENTE";"LYNCH";"NELY AMERICA";"3223540";"01/04/2013";"30/10/2014"
"DISTRITO";"171";"PARTIDO FRENTE PARA EL CAMBIO";"CHACO";"JUNTA PROVINCIAL";"SECRETARIA 1°";"CHIVIDINI";"AMANDA BEATRIZ";"3230073";"31/12/2013";"31/12/2017"
"DISTRITO";"5";"PARTIDO DEMÓCRATA CRISTIANO";"TUCUMÁN";"JUNTA PROVINCIAL ";"MIEMBRO INTEGRANTE ";"LAZARTE";"ELENA DE JESÚS";"3230162";"30/12/2010";"30/12/2013"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"ASAMBLEA";"SUPLENTE";"PASTRANA";"BEATRIZ";"3234822";"15/12/2012";"15/12/2014"
"DISTRITO";"1";"MOVIMIENTO DE INTEGRACION Y DESARROLLO";"CORRIENTES";"Mesa Ejecutiva";"Tesorero/a";"LUCÍA";"LEDESMA";"3243757";"15/12/2012";"15/12/2014"
"DISTRITO";"1";"MOVIMIENTO DE INTEGRACION Y DESARROLLO";"CORRIENTES";"Comité Nacional";"Delegado/a suplente";"LUCÍA";"LEDESMA";"3243757";"15/12/2012";"15/12/2014"
"DISTRITO";"19";"PARTIDO CONSERVADOR POPULAR";"BUENOS AIRES";"Junta de Gobierno";"Vocal Titular";"NORA JUANITA ";"BENEDIT ";"3278232";"15/02/2014";"15/02/2018"
"DISTRITO";"69";"GEN ";"CATAMARCA";"JUNTA ELECTORAL";"SUPLENTE 1°";"ACUÑA";"ROSA CLELIA";"3279079";"19/06/2013";"19/06/2015"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"JUJUY";"CONSEJO PROVINCIAL";"TITULAR";"SADDANI";"ANA MARIA";"3336070";"12/08/2011";"12/08/2015"
"DISTRITO";"8";"PARTIDO FEDERAL";"MENDOZA";"JUNTA CENTRAL DE GOBIERNO";"VOAL";"PUEBLA";"DOMINGO";"3355643";"01/10/2011";"30/09/2015"
"DISTRITO";"66";"PARTIDO SOLIDARIO";"MENDOZA";"TRIBUNAL DE CONDUCTA";"SUPLENTE";"NAVARRO";"JOSE";"3366846";"12/12/2013";"12/12/2017"
"DISTRITO";"183";"VOS, CAMBIO Y ACCIÓN";"TUCUMÁN";"CONSEJO PROVINCIAL";"VOCAL";"VERA";"MARIA ESTER";"3390694";"16/10/2010";"16/10/2014"
"DISTRITO";"184";"PUEBLO NUEVO";"LA PAMPA";"JUNTA DIRECTIVA PROVINCIAL";"VOCAL SUPLENTE";"CARMONA";"ROSA LINA";"3414985";"04/06/2013";"03/06/2017"
"DISTRITO";"72";"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR";"CAPITAL FEDERAL";"Concejo Ejecutivo";"Vocal";"ANTONIA";"HOROVITZ";"3453504";"12/04/2014";"12/04/2016"
"DISTRITO";"3";"Union Civica Radical";"BUENOS AIRES";"Delegado/a suplente";"Convencion Provincial";"MARTA MABEL";"GUZMAN";"3540269";"25/10/2012";"25/10/2014"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"NEUQUÉN";"COMISION DE ETICA";"TITULAR";"DIAZ";"BEATRIZ ESTHER";"3552698";"10/11/2013";"10/11/2015"
"DISTRITO";"65";"PARTIDO UNION CELESTE Y BLANCO";"SANTA FE";"COMITÉ EJECUTIVO PROVINCIAL. ";"VICEPRESIDENTE 2°";"CARRIZO";"EMMA YOLANDA";"3581916";"11/12/2011";"11/12/2015"
"DISTRITO";"69";"GEN";"ENTRE RÍOS";"CONVENCIÓN PROVINCIAL";"SUPLENTE";"ALVAREZ";"ZULMA ESTHER YOLANDA";"3593345";"03/02/2013";"03/02/2015"
"DISTRITO";"33";"PARTIDO NACIONALISTA CONSTITUCIONAL UNIR                           ";"CAPITAL FEDERAL";"Convencion Metropolitana";" ";"INÉS NELLY ";"ZAHROUR";"3608080";"20/11/2012";"20/11/2015"
"DISTRITO";"47";"COALICIÓN CIVICA- AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA. ";"SANTA FE";"COMISIÓN DE ÉTICA PROV.";"PRESIDENTE";"TAMBELLINI";"ONEGLIA MARIA";"3619501";"08/09/2012";"08/09/2014"
"DISTRITO";"170";"FRENTE DEL PUEBLO UNIDO";"TUCUMÁN";"JUNTA DE GOBIERNO";"TESORERO";"COSIANSI";"IRMA DEL CARMEN";"3625500";"18/06/12 - 18/06/16";
"DISTRITO";"181";"FUERZA REPUBLICANA";"TUCUMÁN";"JUNTA PROVINCIAL DE GOBIERNO";"VOCAL TITULAR";"TONDEREIN";"HERTA MARGARITA";"3630832";"04/02/2012";"04/02/2016"
"DISTRITO";"181";"FUERZA REPUBLICANA";"TUCUMÁN";"JUNTA PROVINCIAL DE GOBIERNO";"VOCAL TITULAR";"TONDEREIN";"HERTA MARGARITA";"3630832";"04/02/2012";"04/02/2016"
"DISTRITO";"178";"MOVIMIENTO DE ACCIÓN PROVINCIAL";"CATAMARCA";"CONSEJO PROVINCIAL";"REVISOR DE CUENTAS ";"VERGARA";"MORAINA ROSA";"3631550";"18/08/2010";"18/08/2014"
"NACIONAL";"9";"PARTIDO DEMOCRATA PROGRESISTA                             ";"CAPITAL FEDERAL";"Mesa Directiva Nacional";"Vocal Suplente";"ELIDA ALCIRA";"MAURI";"3670915";"10/11/2012";"10/11/2014"
"DISTRITO";"9";"PARTIDO DEMOCRATA PROGRESISTA                             ";"CAPITAL FEDERAL";"Junta Ejecutiva";"Secretario/a de Acción Comunitaria";"ELIDA ALCIRA";"MAURI";"3670915";"09/04/2013";"09/04/2015"
"DISTRITO";"167";"PARTIDO PROGRESO SOCIAL";"MISIONES";"CONVENCION PROVINCIAL";"MIEMBRO INTEGRANTE";"GONZALEZ";"ELSA LOURDES";"3683436";"30/11/2012";"30/11/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SAN JUAN";"TRIBUNAL DE DISCIPLINA";"SUPLENTE 2°";"TELLO";"LAURA MARIA";"3684460";"29/12/2011";"29/12/2013"
"DISTRITO";"152";"PARTIDO RENOVADOR DE SALTA";"SALTA";"COMITÉ CENTRAL";"SUPLENTE";"CHAPUR";"VICTORIA";"3689989";"26/03/2012";"26/03/2014"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"JUNTA CENTRAL PROVINCIAL";"VICEPRESIDENTE 1°";"CARDARELLI";"ELSA ESTER";"3700544";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"188";"FRENTE ENTRERRIANO FEDERAL POR EL TRABAJO, LA PRODUCCIÓN Y LA JUSTICIA SOCIAL";"ENTRE RÍOS";"CONSEJO PROVINCIAL";"PRESIDENTE";"SCHOENFELD";"ZULEMA ESTELA";"3700913";"30/09/2011";"30/09/2015"
"DISTRITO";"3";"Union Civica Radical";"BUENOS AIRES";"Delegado/a";"Convencion Provincial";"AMERICA";"ZAMBADE";"3702335";"25/10/2012";"25/10/2014"
